# NPT_VS_PR TimeStep=2.067055e+01 MassBarostat=1.000000e+00
#  1:iter 2:L  3:Temp    4:Stress   5:Utot   6:Ukc    7:Ubaro  8:Wbaro    9:Hamilton
 243 10.441772 2755.100352 +0.000134 -32.490004 0.104698 0.008839 0.112636 -32.263832
 244 10.488085 2717.807611 +0.000112 -32.494237 0.103280 0.013726 0.113847 -32.263383
 245 10.542440 2678.662856 +0.000088 -32.499247 0.101793 0.018907 0.115369 -32.263178
 246 10.603670 2637.832050 +0.000062 -32.504560 0.100241 0.023993 0.117172 -32.263154
 247 10.670599 2595.778477 +0.000036 -32.509824 0.098643 0.028667 0.119225 -32.263289
 248 10.741990 2552.470865 +0.000006 -32.514686 0.096997 0.032616 0.121497 -32.263576
 249 10.816470 2507.531455 -0.000025 -32.518798 0.095290 0.035500 0.123952 -32.264056
 250 10.892801 2461.293714 -0.000055 -32.521830 0.093533 0.037286 0.126548 -32.264463
 251 10.969688 2679.230909 -0.000081 -32.523661 0.101814 0.037832 0.129246 -32.254768
 252 11.045945 2627.803964 -0.000109 -32.524344 0.099860 0.037214 0.132003 -32.255267
 253 11.120425 2576.676808 -0.000135 -32.523968 0.097917 0.035499 0.134775 -32.255776
 254 11.192046 2526.213923 -0.000157 -32.522476 0.096000 0.032827 0.137519 -32.256130
 255 11.259847 2476.969296 -0.000175 -32.520147 0.094128 0.029418 0.140194 -32.256407
